scenario,method,true,estimate,se,covered,rep,seed
Complete,Admissible refinement,1.0677440590057818,1.1286398941198674,0.09459087793234118,1,146,4242550117
Complete,Mediator-as-state,1.0677440590057818,0.6831203409533557,0.09794353654471698,0,146,4242550117
Complete,Post-action leakage,1.0677440590057818,0.8117558531526508,0.10817925320373481,0,146,4242550117
Complete,Oracle state,1.0677440590057818,1.1139543080786918,0.09548038872150114,1,146,4242550117
Observed-state MAR,Untyped naive contrast,1.0559638779025158,1.9070871427138685,0.18907346799611235,0,146,4242550117
Observed-state MAR,Coarse locked state,1.0559638779025158,1.0975890196733138,0.103815878062781,1,146,4242550117
Observed-state MAR,Design erasure,1.0559638779025158,1.1329234432061464,0.10397996680437338,1,146,4242550117
Observed-state MAR,Admissible refinement,1.0559638779025158,1.0295702751003892,0.09854074770798246,1,146,4242550117
Observed-state MAR,IPCW admissible refinement,1.0559638779025158,1.03373542428943,0.09814852465022136,1,146,4242550117
Observed-state MAR,Mediator-as-state,1.0559638779025158,0.7217669721313846,0.10655862190960305,0,146,4242550117
Observed-state MAR,Post-action leakage,1.0559638779025158,0.8940108207546825,0.11086711666067933,1,146,4242550117
Observed-state MAR,Oracle state,1.0559638779025158,1.0429341477604124,0.0957207907249225,1,146,4242550117
Complete,Untyped naive contrast,1.0510485396231983,1.9486834794857757,0.1395591566091856,0,147,3722238366
Complete,Coarse locked state,1.0510485396231983,1.0738414744835716,0.0943809904504988,1,147,3722238366
Complete,Design erasure,1.0510485396231983,1.2279958100865525,0.0968910540677199,1,147,3722238366
Complete,Admissible refinement,1.0510485396231983,1.0762156530319,0.0928454673110969,1,147,3722238366
Complete,Mediator-as-state,1.0510485396231983,0.7023701019141392,0.09144507923844189,0,147,3722238366
Complete,Post-action leakage,1.0510485396231983,0.8762506279144865,0.09481336601556588,1,147,3722238366
Complete,Oracle state,1.0510485396231983,1.0604270018198219,0.08985589543438297,1,147,3722238366
Observed-state MAR,Untyped naive contrast,1.0473995578829867,1.6371366089011725,0.17692962935616313,0,147,3722238366
Observed-state MAR,Coarse locked state,1.0473995578829867,0.9562670516200055,0.09627307954636803,1,147,3722238366
Observed-state MAR,Design erasure,1.0473995578829867,1.1494586394376656,0.09789255425424442,1,147,3722238366
Observed-state MAR,Admissible refinement,1.0473995578829867,0.9693630861097937,0.09643713582101601,1,147,3722238366
Observed-state MAR,IPCW admissible refinement,1.0473995578829867,0.9756179720033561,0.09551783654721474,1,147,3722238366
Observed-state MAR,Mediator-as-state,1.0473995578829867,0.6944889891687572,0.10367306879260942,0,147,3722238366
Observed-state MAR,Post-action leakage,1.0473995578829867,0.8300248300278095,0.1021178518728747,0,147,3722238366
Observed-state MAR,Oracle state,1.0473995578829867,0.9810352196218413,0.09777295336550612,1,147,3722238366
Complete,Untyped naive contrast,1.038296213730711,1.6683715033581583,0.15421896238853763,0,148,3728695994
Complete,Coarse locked state,1.038296213730711,1.0774826695065158,0.09998583086439798,1,148,3728695994
Complete,Design erasure,1.038296213730711,1.161709004942739,0.09463697709853158,1,148,3728695994
Complete,Admissible refinement,1.038296213730711,1.056271023593019,0.0958111853133853,1,148,3728695994
Complete,Mediator-as-state,1.038296213730711,0.6277697302455412,0.0966714388972006,0,148,3728695994
Complete,Post-action leakage,1.038296213730711,0.7976092953765656,0.10162465536209982,0,148,3728695994
Complete,Oracle state,1.038296213730711,1.0793138770181538,0.09689731289819882,1,148,3728695994
Observed-state MAR,Untyped naive contrast,1.068718892649398,2.2372278136894854,0.17496795532515527,0,148,3728695994
Observed-state MAR,Coarse locked state,1.068718892649398,1.2369420452041608,0.11488520581008042,1,148,3728695994
Observed-state MAR,Design erasure,1.068718892649398,1.3851096587322849,0.10469109648120624,0,148,3728695994
Observed-state MAR,Admissible refinement,1.068718892649398,1.2220882561585433,0.10540921519849362,1,148,3728695994
Observed-state MAR,IPCW admissible refinement,1.068718892649398,1.2151245469093874,0.10659414013335064,1,148,3728695994
Observed-state MAR,Mediator-as-state,1.068718892649398,0.8149401543060981,0.1104632907713946,0,148,3728695994
Observed-state MAR,Post-action leakage,1.068718892649398,1.0282680205868373,0.13085795936981087,1,148,3728695994
Observed-state MAR,Oracle state,1.068718892649398,1.2363167319291144,0.10426728492184623,1,148,3728695994
Complete,Untyped naive contrast,1.0862418972898453,2.0446696708920333,0.15778855769893918,0,149,3704663416
Complete,Coarse locked state,1.0862418972898453,1.0740527294114361,0.08322444793930565,1,149,3704663416
Complete,Design erasure,1.0862418972898453,1.2313587373781234,0.08764404165771472,1,149,3704663416
Complete,Admissible refinement,1.0862418972898453,1.0615078501296844,0.08093667090224883,1,149,3704663416
Complete,Mediator-as-state,1.0862418972898453,0.6729043781633383,0.08184340687762047,0,149,3704663416
Complete,Post-action leakage,1.0862418972898453,0.8847482560273786,0.08915985548681767,0,149,3704663416
Complete,Oracle state,1.0862418972898453,1.0408466887573016,0.07822073652099808,1,149,3704663416
Observed-state MAR,Untyped naive contrast,1.0428395855240993,1.5746240727948422,0.15014593885497243,0,149,3704663416
Observed-state MAR,Coarse locked state,1.0428395855240993,0.9369769056286902,0.11198736307217909,1,149,3704663416
Observed-state MAR,Design erasure,1.0428395855240993,1.0155246239619664,0.09998178795829753,1,149,3704663416
Observed-state MAR,Admissible refinement,1.0428395855240993,0.8936879462696039,0.10593990652189844,1,149,3704663416
Observed-state MAR,IPCW admissible refinement,1.0428395855240993,0.8901812750030415,0.10652673688037341,1,149,3704663416
Observed-state MAR,Mediator-as-state,1.0428395855240993,0.5829553013742041,0.1128246949750539,0,149,3704663416
Observed-state MAR,Post-action leakage,1.0428395855240993,0.7163942520063686,0.11768880981546198,0,149,3704663416
Observed-state MAR,Oracle state,1.0428395855240993,0.89752467069852,0.09694682896642444,1,149,3704663416
Complete,Untyped naive contrast,1.0883405004560986,1.848709792114302,0.14098255902930362,0,150,2557289242
Complete,Coarse locked state,1.0883405004560986,1.2404114967550068,0.09095509363495215,1,150,2557289242
Complete,Design erasure,1.0883405004560986,1.435855844367442,0.09129208347153826,0,150,2557289242
Complete,Admissible refinement,1.0883405004560986,1.2728558786657473,0.09272136107821535,0,150,2557289242
Complete,Mediator-as-state,1.0883405004560986,0.8474106419078814,0.0887367324858077,0,150,2557289242
Complete,Post-action leakage,1.0883405004560986,0.9960815008256928,0.09430141696202142,1,150,2557289242
Complete,Oracle state,1.0883405004560986,1.2622391460772775,0.0906270026105788,1,150,2557289242
Observed-state MAR,Untyped naive contrast,1.063133838054639,1.858517742280369,0.1899026916030496,0,150,2557289242
Observed-state MAR,Coarse locked state,1.063133838054639,1.0222565279449791,0.10729602945590723,1,150,2557289242
Observed-state MAR,Design erasure,1.063133838054639,1.1972757579969422,0.09328475545979684,1,150,2557289242
Observed-state MAR,Admissible refinement,1.063133838054639,1.0368442098021513,0.09853079651690368,1,150,2557289242
Observed-state MAR,IPCW admissible refinement,1.063133838054639,1.0327945666012803,0.0985094599155558,1,150,2557289242
Observed-state MAR,Mediator-as-state,1.063133838054639,0.7009185707362643,0.10990252296905047,0,150,2557289242
Observed-state MAR,Post-action leakage,1.063133838054639,0.8238085888865887,0.10588397943051785,0,150,2557289242
Observed-state MAR,Oracle state,1.063133838054639,1.0536922894738179,0.09324615548751736,1,150,2557289242
Complete,Untyped naive contrast,1.026126060617354,1.988966353466463,0.17051501821036566,0,151,2183102379
Complete,Coarse locked state,1.026126060617354,0.9749286011928688,0.10104284352424554,1,151,2183102379
Complete,Design erasure,1.026126060617354,1.151843101109703,0.09623623255719943,1,151,2183102379
Complete,Admissible refinement,1.026126060617354,0.9765681418343971,0.09696232322150644,1,151,2183102379
Complete,Mediator-as-state,1.026126060617354,0.6402305640125016,0.10115667044350767,0,151,2183102379
Complete,Post-action leakage,1.026126060617354,0.7875121721746527,0.10147867759882875,0,151,2183102379
Complete,Oracle state,1.026126060617354,0.9780815521457252,0.09474379647079921,1,151,2183102379
Observed-state MAR,Untyped naive contrast,1.0662716060786246,1.4667107899262593,0.15794692852499595,0,151,2183102379
Observed-state MAR,Coarse locked state,1.0662716060786246,0.9591892125147735,0.100208357067839,1,151,2183102379
Observed-state MAR,Design erasure,1.0662716060786246,1.1425494845766515,0.10923809849770601,1,151,2183102379
Observed-state MAR,Admissible refinement,1.0662716060786246,0.9534777076553834,0.10172229008426929,1,151,2183102379
Observed-state MAR,IPCW admissible refinement,1.0662716060786246,0.9697907672711525,0.1018864459143631,1,151,2183102379
Observed-state MAR,Mediator-as-state,1.0662716060786246,0.6845881411979854,0.104804416911102,0,151,2183102379
Observed-state MAR,Post-action leakage,1.0662716060786246,0.8337446376532145,0.10818848992063296,0,151,2183102379
Observed-state MAR,Oracle state,1.0662716060786246,0.9593190743396044,0.09974272231527523,1,151,2183102379
Complete,Untyped naive contrast,1.0480301429802228,2.1716121679407876,0.1591003100748337,0,152,3483551849
Complete,Coarse locked state,1.0480301429802228,1.2148582204245322,0.08685674814654484,1,152,3483551849
Complete,Design erasure,1.0480301429802228,1.365989685971745,0.09001816202802583,0,152,3483551849
Complete,Admissible refinement,1.0480301429802228,1.2056581698311977,0.08719307349158698,1,152,3483551849
Complete,Mediator-as-state,1.0480301429802228,0.8149001397503404,0.09189341147874334,0,152,3483551849
Complete,Post-action leakage,1.0480301429802228,1.0333804912842899,0.09675227815243927,1,152,3483551849
Complete,Oracle state,1.0480301429802228,1.2187242706110002,0.08649358142664852,0,152,3483551849
Observed-state MAR,Untyped naive contrast,1.0794355059079288,1.7927872984512,0.17413820170623284,0,152,3483551849
Observed-state MAR,Coarse locked state,1.0794355059079288,1.2101474616956898,0.09331573070385571,1,152,3483551849
Observed-state MAR,Design erasure,1.0794355059079288,1.2608881968377321,0.08842044081119871,0,152,3483551849
Observed-state MAR,Admissible refinement,1.0794355059079288,1.1654656151142786,0.0862302797748955,1,152,3483551849
Observed-state MAR,IPCW admissible refinement,1.0794355059079288,1.1602971674134834,0.08681832882689755,1,152,3483551849
Observed-state MAR,Mediator-as-state,1.0794355059079288,0.8386518868608294,0.10216022123540701,0,152,3483551849
Observed-state MAR,Post-action leakage,1.0794355059079288,0.9842154455516517,0.10618138438499634,1,152,3483551849
Observed-state MAR,Oracle state,1.0794355059079288,1.1617856024591746,0.08459425825144125,1,152,3483551849
Complete,Untyped naive contrast,1.05454280905596,1.6951880855936836,0.15846551345494492,0,153,767561796
Complete,Coarse locked state,1.05454280905596,1.0605180149460314,0.08610474299501202,1,153,767561796
Complete,Design erasure,1.05454280905596,1.2325053203318956,0.08922771167962229,0,153,767561796
Complete,Admissible refinement,1.05454280905596,1.0506530651257266,0.08379690981064425,1,153,767561796
Complete,Mediator-as-state,1.05454280905596,0.7113176656320953,0.09224395178342686,0,153,767561796
Complete,Post-action leakage,1.05454280905596,0.8755997390894388,0.09491361590045322,1,153,767561796
Complete,Oracle state,1.05454280905596,1.0515785679297571,0.08124630561032614,1,153,767561796
Observed-state MAR,Untyped naive contrast,1.072441115249219,1.9243130995741689,0.19091398155779699,0,153,767561796
Observed-state MAR,Coarse locked state,1.072441115249219,0.9427600902789441,0.09325504375173399,1,153,767561796
Observed-state MAR,Design erasure,1.072441115249219,1.225382317492974,0.09451179427175435,1,153,767561796
Observed-state MAR,Admissible refinement,1.072441115249219,0.9794167674621171,0.09607824964854864,1,153,767561796
Observed-state MAR,IPCW admissible refinement,1.072441115249219,0.987103778380482,0.0978742517807904,1,153,767561796
Observed-state MAR,Mediator-as-state,1.072441115249219,0.6259937720599933,0.10093370477423455,0,153,767561796
Observed-state MAR,Post-action leakage,1.072441115249219,0.7756143658017904,0.10529321802807355,0,153,767561796
Observed-state MAR,Oracle state,1.072441115249219,0.9707667300986257,0.09288406524770551,1,153,767561796
Complete,Untyped naive contrast,1.0921804321264157,1.98291526585306,0.16049385147010065,0,154,2982992284
Complete,Coarse locked state,1.0921804321264157,1.1743676696778773,0.09579570391134506,1,154,2982992284
Complete,Design erasure,1.0921804321264157,1.3296015789399749,0.09102976836290601,0,154,2982992284
Complete,Admissible refinement,1.0921804321264157,1.2006987777748506,0.09050064460385443,1,154,2982992284
Complete,Mediator-as-state,1.0921804321264157,0.8362005207505556,0.09680670508399962,0,154,2982992284
Complete,Post-action leakage,1.0921804321264157,0.9997897381002142,0.09539236990572143,1,154,2982992284
Complete,Oracle state,1.0921804321264157,1.211745535414452,0.08750553269697693,1,154,2982992284
Observed-state MAR,Untyped naive contrast,1.0686948704998371,1.6550051382758657,0.17755570159631293,0,154,2982992284
Observed-state MAR,Coarse locked state,1.0686948704998371,1.0360230945501387,0.10029926288704376,1,154,2982992284
Observed-state MAR,Design erasure,1.0686948704998371,1.072662959024043,0.09825604705334191,1,154,2982992284
Observed-state MAR,Admissible refinement,1.0686948704998371,0.9768132628549961,0.0970654355894257,1,154,2982992284
Observed-state MAR,IPCW admissible refinement,1.0686948704998371,0.9824509265940795,0.09633351193029743,1,154,2982992284
Observed-state MAR,Mediator-as-state,1.0686948704998371,0.629570451903167,0.09594418735076941,0,154,2982992284
Observed-state MAR,Post-action leakage,1.0686948704998371,0.7985624425091562,0.09788285703528385,0,154,2982992284
Observed-state MAR,Oracle state,1.0686948704998371,0.9688228733663088,0.09505783948313687,1,154,2982992284
Complete,Untyped naive contrast,1.0769130020570636,1.7660909478137188,0.1500569105115516,0,155,1788323240
Complete,Coarse locked state,1.0769130020570636,1.0435532713712847,0.10091576733122216,1,155,1788323240
Complete,Design erasure,1.0769130020570636,1.1865928322408938,0.10136492253311001,1,155,1788323240
Complete,Admissible refinement,1.0769130020570636,1.0104005945979564,0.09723854094982191,1,155,1788323240
Complete,Mediator-as-state,1.0769130020570636,0.6821420130359684,0.10223144276996177,0,155,1788323240
Complete,Post-action leakage,1.0769130020570636,0.8589370162859429,0.10335325544823927,0,155,1788323240
Complete,Oracle state,1.0769130020570636,1.0295088895730629,0.0924581182176395,1,155,1788323240
Observed-state MAR,Untyped naive contrast,1.0690828108868822,1.9561906848441,0.17749236701546064,0,155,1788323240
Observed-state MAR,Coarse locked state,1.0690828108868822,1.1804828281710869,0.10357249180213654,1,155,1788323240
Observed-state MAR,Design erasure,1.0690828108868822,1.3148311845246248,0.10470933120947487,0,155,1788323240
Observed-state MAR,Admissible refinement,1.0690828108868822,1.136459123558982,0.10422263682052807,1,155,1788323240
Observed-state MAR,IPCW admissible refinement,1.0690828108868822,1.130784031453513,0.10517655175368745,1,155,1788323240
Observed-state MAR,Mediator-as-state,1.0690828108868822,0.8507332666580613,0.10575181805721041,0,155,1788323240
Observed-state MAR,Post-action leakage,1.0690828108868822,0.9827062216481993,0.10707125670158756,1,155,1788323240
Observed-state MAR,Oracle state,1.0690828108868822,1.1592975008247306,0.10196339534742214,1,155,1788323240
Complete,Untyped naive contrast,1.1021216694673628,1.7995884281610974,0.14982990622785392,0,156,2532727583
Complete,Coarse locked state,1.1021216694673628,1.0159858996031652,0.09764381637744668,1,156,2532727583
Complete,Design erasure,1.1021216694673628,1.1578486890715345,0.09623775028974396,1,156,2532727583
Complete,Admissible refinement,1.1021216694673628,1.0276090727227383,0.09332648799416624,1,156,2532727583
Complete,Mediator-as-state,1.1021216694673628,0.598383680852089,0.10139551578217267,0,156,2532727583
Complete,Post-action leakage,1.1021216694673628,0.7475256466137193,0.10251428699082431,0,156,2532727583
Complete,Oracle state,1.1021216694673628,1.0232078608959538,0.09148508753356643,1,156,2532727583
Observed-state MAR,Untyped naive contrast,1.0370734680460016,1.6758174931289493,0.1626371547257029,0,156,2532727583
Observed-state MAR,Coarse locked state,1.0370734680460016,0.8615470542859033,0.10552199607717704,1,156,2532727583
Observed-state MAR,Design erasure,1.0370734680460016,1.0205844983221548,0.10333977478534596,1,156,2532727583
Observed-state MAR,Admissible refinement,1.0370734680460016,0.8240043041008985,0.10195063604763398,0,156,2532727583
Observed-state MAR,IPCW admissible refinement,1.0370734680460016,0.8158161456999387,0.10207101269636162,0,156,2532727583
Observed-state MAR,Mediator-as-state,1.0370734680460016,0.5812334119430248,0.10924468360409673,0,156,2532727583
Observed-state MAR,Post-action leakage,1.0370734680460016,0.6561707789907033,0.11172361942042296,0,156,2532727583
Observed-state MAR,Oracle state,1.0370734680460016,0.840366739126352,0.10263717428400868,1,156,2532727583
Complete,Untyped naive contrast,1.0806362903038642,1.836545616395204,0.1455222703944695,0,157,3782992389
Complete,Coarse locked state,1.0806362903038642,0.9265912816655973,0.10299890060205026,1,157,3782992389
Complete,Design erasure,1.0806362903038642,1.1147950882569633,0.09500514731090894,1,157,3782992389
Complete,Admissible refinement,1.0806362903038642,0.9192930159462469,0.094567154121242,1,157,3782992389
Complete,Mediator-as-state,1.0806362903038642,0.5265383558948326,0.09919654901446916,0,157,3782992389
Complete,Post-action leakage,1.0806362903038642,0.7473501861814247,0.10550558420282272,0,157,3782992389
Complete,Oracle state,1.0806362903038642,0.9400838920984815,0.0926842426644982,1,157,3782992389
Observed-state MAR,Untyped naive contrast,1.0247604236300167,1.2535718828143416,0.17162255416600675,1,157,3782992389
Observed-state MAR,Coarse locked state,1.0247604236300167,0.9061271249127688,0.10746834913343337,1,157,3782992389
Observed-state MAR,Design erasure,1.0247604236300167,1.0630752590636763,0.10543442116885807,1,157,3782992389
Observed-state MAR,Admissible refinement,1.0247604236300167,0.9506579824299674,0.10764532621241626,1,157,3782992389
Observed-state MAR,IPCW admissible refinement,1.0247604236300167,0.9456138500491799,0.10767462928983215,1,157,3782992389
Observed-state MAR,Mediator-as-state,1.0247604236300167,0.5719847114471632,0.1057428901283341,0,157,3782992389
Observed-state MAR,Post-action leakage,1.0247604236300167,0.749478266689068,0.1040073618277298,0,157,3782992389
Observed-state MAR,Oracle state,1.0247604236300167,0.9381559392071016,0.10618903954275576,1,157,3782992389
Complete,Untyped naive contrast,1.021519399014425,1.6261860045351666,0.1418440916504497,0,158,1578651160
Complete,Coarse locked state,1.021519399014425,1.0064577648559148,0.08681798315020182,1,158,1578651160
Complete,Design erasure,1.021519399014425,1.0850686461464627,0.08838470369112904,1,158,1578651160
Complete,Admissible refinement,1.021519399014425,0.9690190005222525,0.0833392272574122,1,158,1578651160
Complete,Mediator-as-state,1.021519399014425,0.60719714951851,0.09370269646458344,0,158,1578651160
Complete,Post-action leakage,1.021519399014425,0.806647426062229,0.09018922004919772,0,158,1578651160
Complete,Oracle state,1.021519399014425,0.995031070095699,0.08124047487449029,1,158,1578651160
Observed-state MAR,Untyped naive contrast,1.0419726812726597,2.0283384094842485,0.17351725075068472,0,158,1578651160
Observed-state MAR,Coarse locked state,1.0419726812726597,0.9744143138992568,0.11082484186693572,1,158,1578651160
Observed-state MAR,Design erasure,1.0419726812726597,1.1251586677884726,0.10688349286031507,1,158,1578651160
Observed-state MAR,Admissible refinement,1.0419726812726597,0.9496701254251733,0.1009823872516051,1,158,1578651160
Observed-state MAR,IPCW admissible refinement,1.0419726812726597,0.9439068607675741,0.10102826410919362,1,158,1578651160
Observed-state MAR,Mediator-as-state,1.0419726812726597,0.5442087915079604,0.11364088759139497,0,158,1578651160
Observed-state MAR,Post-action leakage,1.0419726812726597,0.7550317572992802,0.11770513533822172,0,158,1578651160
Observed-state MAR,Oracle state,1.0419726812726597,0.9574690526741966,0.10059302898968059,1,158,1578651160
Complete,Untyped naive contrast,1.0876618575969987,1.7247362949108946,0.14514097018282618,0,159,3601456967
Complete,Coarse locked state,1.0876618575969987,1.0074942711650765,0.08920721395011397,1,159,3601456967
Complete,Design erasure,1.0876618575969987,1.151501734401302,0.08473500220047539,1,159,3601456967
Complete,Admissible refinement,1.0876618575969987,0.9971201900729513,0.08373264305095397,1,159,3601456967
Complete,Mediator-as-state,1.0876618575969987,0.703457096104887,0.08983004225815056,0,159,3601456967
Complete,Post-action leakage,1.0876618575969987,0.8843789729922173,0.09078680112526477,0,159,3601456967
Complete,Oracle state,1.0876618575969987,1.0095921450143175,0.07997121365402154,1,159,3601456967
Observed-state MAR,Untyped naive contrast,1.0864470965802024,1.8797877216666246,0.21158827688396786,0,159,3601456967
Observed-state MAR,Coarse locked state,1.0864470965802024,1.032632268658481,0.10665461073872277,1,159,3601456967
Observed-state MAR,Design erasure,1.0864470965802024,1.3000195488625783,0.10872126406597325,0,159,3601456967
Observed-state MAR,Admissible refinement,1.0864470965802024,1.0713780589945712,0.10436008483804729,1,159,3601456967
Observed-state MAR,IPCW admissible refinement,1.0864470965802024,1.0603531463733429,0.10434548313296758,1,159,3601456967
Observed-state MAR,Mediator-as-state,1.0864470965802024,0.6767752848155872,0.10957475486018083,0,159,3601456967
Observed-state MAR,Post-action leakage,1.0864470965802024,0.8731881396568554,0.11154831608894085,1,159,3601456967
Observed-state MAR,Oracle state,1.0864470965802024,1.099982522279294,0.10302277359325254,1,159,3601456967
Complete,Untyped naive contrast,1.051814045756819,1.8559353859990997,0.16287315560259152,0,160,476507124
Complete,Coarse locked state,1.051814045756819,0.9166576231039963,0.09951089891579865,1,160,476507124
Complete,Design erasure,1.051814045756819,1.0933453721953665,0.09165880593959203,1,160,476507124
Complete,Admissible refinement,1.051814045756819,0.9416222870745952,0.09421763591351473,1,160,476507124
Complete,Mediator-as-state,1.051814045756819,0.5097707362640029,0.09639188957285416,0,160,476507124
Complete,Post-action leakage,1.051814045756819,0.7384802310342263,0.10924061576134485,0,160,476507124
Complete,Oracle state,1.051814045756819,0.9142891878226328,0.0925354882368492,1,160,476507124
Observed-state MAR,Untyped naive contrast,1.1001977113024433,2.022227201092334,0.15668244510159193,0,160,476507124
Observed-state MAR,Coarse locked state,1.1001977113024433,1.074484102062409,0.10463161932983903,1,160,476507124
Observed-state MAR,Design erasure,1.1001977113024433,1.2134415693873621,0.1075739785580646,1,160,476507124
Observed-state MAR,Admissible refinement,1.1001977113024433,1.0567514697188802,0.10214001779009296,1,160,476507124
Observed-state MAR,IPCW admissible refinement,1.1001977113024433,1.0506133496489198,0.10280205140845955,1,160,476507124
Observed-state MAR,Mediator-as-state,1.1001977113024433,0.7712230170761599,0.10921369144142652,0,160,476507124
Observed-state MAR,Post-action leakage,1.1001977113024433,0.9017949001486967,0.11558508696847264,1,160,476507124
Observed-state MAR,Oracle state,1.1001977113024433,1.0877422375885248,0.10274393270545354,1,160,476507124
Complete,Untyped naive contrast,1.0939095428630528,2.1015544781121753,0.16251931003580075,0,161,3691948297
Complete,Coarse locked state,1.0939095428630528,1.1902739772449282,0.09134842355902753,1,161,3691948297
Complete,Design erasure,1.0939095428630528,1.4477081767934439,0.08883739018318555,0,161,3691948297
Complete,Admissible refinement,1.0939095428630528,1.2397983400062624,0.08751539015652463,1,161,3691948297
Complete,Mediator-as-state,1.0939095428630528,0.7176102871372843,0.09417547740190975,0,161,3691948297
Complete,Post-action leakage,1.0939095428630528,0.9478119557020729,0.09231541011680586,1,161,3691948297
Complete,Oracle state,1.0939095428630528,1.2203443121461302,0.0873303263911015,1,161,3691948297
Observed-state MAR,Untyped naive contrast,1.0625382013892468,2.1737524591438624,0.20226670508200298,0,161,3691948297
Observed-state MAR,Coarse locked state,1.0625382013892468,1.0678154395084318,0.11584206054174079,1,161,3691948297
Observed-state MAR,Design erasure,1.0625382013892468,1.1681656326471217,0.1092277530417111,1,161,3691948297
Observed-state MAR,Admissible refinement,1.0625382013892468,1.0000965550012688,0.10952329448510821,1,161,3691948297
Observed-state MAR,IPCW admissible refinement,1.0625382013892468,0.9880132294367902,0.11018519337882365,1,161,3691948297
Observed-state MAR,Mediator-as-state,1.0625382013892468,0.643310938224251,0.12610311807565222,0,161,3691948297
Observed-state MAR,Post-action leakage,1.0625382013892468,0.8395143592684247,0.12948742681600872,1,161,3691948297
Observed-state MAR,Oracle state,1.0625382013892468,0.9755443219521278,0.10630730152662182,1,161,3691948297
Complete,Untyped naive contrast,1.0639248459547204,1.9288737976245203,0.13873333653377803,0,162,250689851
Complete,Coarse locked state,1.0639248459547204,1.0217317980300566,0.09931578159677412,1,162,250689851
Complete,Design erasure,1.0639248459547204,1.2140847360678575,0.09193046893584626,1,162,250689851
Complete,Admissible refinement,1.0639248459547204,1.056148796723153,0.09530461897830585,1,162,250689851
Complete,Mediator-as-state,1.0639248459547204,0.6540888536897745,0.10193113329335612,0,162,250689851
Complete,Post-action leakage,1.0639248459547204,0.8537519624730174,0.09933560142987932,0,162,250689851
Complete,Oracle state,1.0639248459547204,1.0443893759210803,0.09270018033009993,1,162,250689851
Observed-state MAR,Untyped naive contrast,1.0575513618391614,2.0476293565110293,0.1560711083297104,0,162,250689851
Observed-state MAR,Coarse locked state,1.0575513618391614,1.140467998659751,0.1045938525577473,1,162,250689851
Observed-state MAR,Design erasure,1.0575513618391614,1.3128499277963583,0.10315002686264832,0,162,250689851
Observed-state MAR,Admissible refinement,1.0575513618391614,1.1294338421349692,0.10253725038377091,1,162,250689851
Observed-state MAR,IPCW admissible refinement,1.0575513618391614,1.146144991320606,0.1041077201549839,1,162,250689851
Observed-state MAR,Mediator-as-state,1.0575513618391614,0.7480476746468291,0.10571098820504586,0,162,250689851
Observed-state MAR,Post-action leakage,1.0575513618391614,0.8966297681408847,0.11632812630227095,1,162,250689851
Observed-state MAR,Oracle state,1.0575513618391614,1.1015493317711635,0.10381731772109544,1,162,250689851
Complete,Untyped naive contrast,1.0850042784745382,1.6145307959471376,0.15733290875003406,0,163,4208903716
Complete,Coarse locked state,1.0850042784745382,0.9267631733718418,0.09974924762927707,1,163,4208903716
Complete,Design erasure,1.0850042784745382,1.1124394175512753,0.09643512016155228,1,163,4208903716
Complete,Admissible refinement,1.0850042784745382,0.9373556757763597,0.09779648096902789,1,163,4208903716
Complete,Mediator-as-state,1.0850042784745382,0.4747182018143623,0.10682368916032908,0,163,4208903716
Complete,Post-action leakage,1.0850042784745382,0.6260075702744814,0.10934293575583282,0,163,4208903716
Complete,Oracle state,1.0850042784745382,0.9321183403060946,0.09596906798448124,1,163,4208903716
Observed-state MAR,Untyped naive contrast,1.0887214466406663,2.0167777875288158,0.1904428129310949,0,163,4208903716
Observed-state MAR,Coarse locked state,1.0887214466406663,1.067483369213572,0.11765611801938546,1,163,4208903716
Observed-state MAR,Design erasure,1.0887214466406663,1.2321436870029907,0.10371775862874488,1,163,4208903716
Observed-state MAR,Admissible refinement,1.0887214466406663,1.0675866011696995,0.11004460808639484,1,163,4208903716
Observed-state MAR,IPCW admissible refinement,1.0887214466406663,1.0566610440480302,0.11000479993732785,1,163,4208903716
Observed-state MAR,Mediator-as-state,1.0887214466406663,0.7497917464477888,0.1108428029559024,0,163,4208903716
Observed-state MAR,Post-action leakage,1.0887214466406663,0.9459580686453466,0.11430328005860844,1,163,4208903716
Observed-state MAR,Oracle state,1.0887214466406663,1.0790456017734429,0.10442351945995944,1,163,4208903716
Complete,Untyped naive contrast,1.1121993870242441,1.913875310464297,0.1437830515083284,0,164,1691171292
Complete,Coarse locked state,1.1121993870242441,1.0474898730713258,0.0876675038781571,1,164,1691171292
Complete,Design erasure,1.1121993870242441,1.1858464866151643,0.08348955099658784,1,164,1691171292
Complete,Admissible refinement,1.1121993870242441,1.0351453388050438,0.08240472647838336,1,164,1691171292
Complete,Mediator-as-state,1.1121993870242441,0.6476813331729956,0.09362642006755797,0,164,1691171292
Complete,Post-action leakage,1.1121993870242441,0.8703057544441793,0.08573099155658663,0,164,1691171292
Complete,Oracle state,1.1121993870242441,1.0445801089526432,0.08262593862231371,1,164,1691171292
Observed-state MAR,Untyped naive contrast,1.0528354938843214,1.783663529373075,0.18062507932796357,0,164,1691171292
Observed-state MAR,Coarse locked state,1.0528354938843214,1.1133197818287253,0.10474619911458412,1,164,1691171292
Observed-state MAR,Design erasure,1.0528354938843214,1.2848098501415537,0.10052288090246107,0,164,1691171292
Observed-state MAR,Admissible refinement,1.0528354938843214,1.1173475708305876,0.0985192180731579,1,164,1691171292
