scenario,method,true,estimate,se,covered,rep,seed
Observed-state MAR,Admissible refinement,1.0627872050911173,1.0893828950136086,0.11623306384176615,1,6,1119767513
Observed-state MAR,IPCW admissible refinement,1.0627872050911173,1.096737209473855,0.11642467753636071,1,6,1119767513
Observed-state MAR,Mediator-as-state,1.0627872050911173,0.740920709915713,0.12541183589268776,0,6,1119767513
Observed-state MAR,Post-action leakage,1.0627872050911173,0.8743733528551624,0.12338531478701445,1,6,1119767513
Observed-state MAR,Oracle state,1.0627872050911173,1.11224363524736,0.11547319779468608,1,6,1119767513
Complete,Untyped naive contrast,1.0668426505173592,2.036318198484987,0.15593381737619533,0,7,3790594768
Complete,Coarse locked state,1.0668426505173592,1.099218433219708,0.1022533096968301,1,7,3790594768
Complete,Design erasure,1.0668426505173592,1.2090319875095217,0.0998633916560223,1,7,3790594768
Complete,Admissible refinement,1.0668426505173592,1.047294475261161,0.10075745577568408,1,7,3790594768
Complete,Mediator-as-state,1.0668426505173592,0.6123620750499683,0.10564676829348611,0,7,3790594768
Complete,Post-action leakage,1.0668426505173592,0.8248732521800091,0.1094491510741489,0,7,3790594768
Complete,Oracle state,1.0668426505173592,1.0529001857610325,0.09903984885706492,1,7,3790594768
Observed-state MAR,Untyped naive contrast,1.0838456098151603,1.788931671260664,0.16249313859800027,0,7,3790594768
Observed-state MAR,Coarse locked state,1.0838456098151603,1.0860113899701538,0.11236613277950352,1,7,3790594768
Observed-state MAR,Design erasure,1.0838456098151603,1.2328340404221527,0.10719561679328046,1,7,3790594768
Observed-state MAR,Admissible refinement,1.0838456098151603,1.0806198876804969,0.10754068027599704,1,7,3790594768
Observed-state MAR,IPCW admissible refinement,1.0838456098151603,1.0729838416400221,0.10742448051521254,1,7,3790594768
Observed-state MAR,Mediator-as-state,1.0838456098151603,0.6923512988066758,0.11351557832097033,0,7,3790594768
Observed-state MAR,Post-action leakage,1.0838456098151603,0.8031877706929014,0.11274117219722431,0,7,3790594768
Observed-state MAR,Oracle state,1.0838456098151603,1.0672546664466742,0.10318320782060753,1,7,3790594768
Complete,Untyped naive contrast,1.0960322060103256,2.0214296477365927,0.15677178395297472,0,8,1035118265
Complete,Coarse locked state,1.0960322060103256,1.0775396479881623,0.08902069436678656,1,8,1035118265
Complete,Design erasure,1.0960322060103256,1.262614899816791,0.08291617374562314,0,8,1035118265
Complete,Admissible refinement,1.0960322060103256,1.1070777355868837,0.08554186703767115,1,8,1035118265
Complete,Mediator-as-state,1.0960322060103256,0.726664270968894,0.09842138347025291,0,8,1035118265
Complete,Post-action leakage,1.0960322060103256,0.9549400809441572,0.09580107373469225,1,8,1035118265
Complete,Oracle state,1.0960322060103256,1.128801101015688,0.08458404065057351,1,8,1035118265
Observed-state MAR,Untyped naive contrast,1.0771831978576405,1.6939325619621366,0.16387480616872419,0,8,1035118265
Observed-state MAR,Coarse locked state,1.0771831978576405,1.0258637223467773,0.11015856617100162,1,8,1035118265
Observed-state MAR,Design erasure,1.0771831978576405,1.1442938553407034,0.10784685258847189,1,8,1035118265
Observed-state MAR,Admissible refinement,1.0771831978576405,1.0459559244621401,0.10337865314329177,1,8,1035118265
Observed-state MAR,IPCW admissible refinement,1.0771831978576405,1.0437478383377432,0.10272969510154377,1,8,1035118265
Observed-state MAR,Mediator-as-state,1.0771831978576405,0.6456168730680995,0.10830488085925626,0,8,1035118265
Observed-state MAR,Post-action leakage,1.0771831978576405,0.8424060428573537,0.11295993214791693,0,8,1035118265
Observed-state MAR,Oracle state,1.0771831978576405,1.0665651125296416,0.09999076663507585,1,8,1035118265
Complete,Untyped naive contrast,1.0615404916522837,1.8457090783258698,0.14762940555906817,0,9,3647505179
Complete,Coarse locked state,1.0615404916522837,0.933849646456337,0.10497421776112012,1,9,3647505179
Complete,Design erasure,1.0615404916522837,1.1387724971078532,0.10739829579155842,1,9,3647505179
Complete,Admissible refinement,1.0615404916522837,0.9585067894679414,0.10223786813486035,1,9,3647505179
Complete,Mediator-as-state,1.0615404916522837,0.5315818832454372,0.10590784826573497,0,9,3647505179
Complete,Post-action leakage,1.0615404916522837,0.7284167248462717,0.10780384355794513,0,9,3647505179
Complete,Oracle state,1.0615404916522837,0.9348187770389847,0.10447754048600572,1,9,3647505179
Observed-state MAR,Untyped naive contrast,1.075913495469201,2.063594886685039,0.17971001431782654,0,9,3647505179
