variant,method,true,estimate,se,covered,rep,seed
Outcome compression,Oracle state,1.041635257490347,0.9655777225786875,0.08668945394779347,1,7,3639054529
Nonclassical representation,Design erasure,1.0335669379091734,1.1331629038263102,0.07681745108670836,1,7,3639054529
Nonclassical representation,Admissible refinement,1.0335669379091734,1.1361787951777655,0.07862452082517611,1,7,3639054529
Nonclassical representation,Oracle state,1.0335669379091734,1.119722977590094,0.07637780463513894,1,7,3639054529
Baseline,Design erasure,1.0829982779246892,1.2544937672565912,0.09754465033138184,1,8,2321875308
Baseline,Admissible refinement,1.0829982779246892,1.1051140192227478,0.09690896368971914,1,8,2321875308
Baseline,Oracle state,1.0829982779246892,1.1058126893313747,0.0935054126449386,1,8,2321875308
Positivity stress,Design erasure,1.1120996315529483,1.2509885648744397,0.09231052374387112,1,8,2321875308
Positivity stress,Admissible refinement,1.1120996315529483,1.0268823000704128,0.09258682909439372,1,8,2321875308
Positivity stress,Oracle state,1.1120996315529483,1.0300004331077344,0.09133649069090903,1,8,2321875308
Outcome compression,Design erasure,1.0721333532096289,1.22309272238802,0.0824989959319677,1,8,2321875308
Outcome compression,Admissible refinement,1.0721333532096289,1.2098535206755716,0.08526268279204562,1,8,2321875308
Outcome compression,Oracle state,1.0721333532096289,1.2668705453769304,0.08603673872662763,0,8,2321875308
Nonclassical representation,Design erasure,1.0401515165254722,1.150513272433836,0.08687630891747498,1,8,2321875308
Nonclassical representation,Admissible refinement,1.0401515165254722,1.0670750478734805,0.08943876727076411,1,8,2321875308
Nonclassical representation,Oracle state,1.0401515165254722,1.0849749573813545,0.08380357089412635,1,8,2321875308
Baseline,Design erasure,1.0623441890249303,1.3085390570527482,0.09250304104320413,0,9,4011080504
Baseline,Admissible refinement,1.0623441890249303,1.1531724784329138,0.09540888536481165,1,9,4011080504
Baseline,Oracle state,1.0623441890249303,1.1766554333041792,0.09323253731427283,1,9,4011080504
Positivity stress,Design erasure,1.0884100911751935,1.371675342747514,0.08960399406839843,0,9,4011080504
Positivity stress,Admissible refinement,1.0884100911751935,1.086585247394077,0.08681901514757688,1,9,4011080504
Positivity stress,Oracle state,1.0884100911751935,1.0906489213119905,0.08723178284637848,1,9,4011080504
Outcome compression,Design erasure,1.006628796681011,1.0035934559357143,0.09341040955578908,1,9,4011080504
Outcome compression,Admissible refinement,1.006628796681011,0.9375089827974478,0.09801385825711995,1,9,4011080504
Outcome compression,Oracle state,1.006628796681011,0.9657223803143686,0.09557541621210171,1,9,4011080504
Nonclassical representation,Design erasure,1.0596404748531951,0.958436364134762,0.10190939744090646,1,9,4011080504
Nonclassical representation,Admissible refinement,1.0596404748531951,0.9433680076335517,0.10208031225699765,1,9,4011080504
Nonclassical representation,Oracle state,1.0596404748531951,0.9372699669024647,0.09891151322179353,1,9,4011080504
Baseline,Design erasure,1.0173006642953681,1.1331835201585123,0.08493512272291219,1,10,2309624528
Baseline,Admissible refinement,1.0173006642953681,1.0017352232376397,0.08548665624560839,1,10,2309624528
Baseline,Oracle state,1.0173006642953681,0.9627579777636244,0.08678819496471092,1,10,2309624528
Positivity stress,Design erasure,1.0333089115804437,1.3765806785524868,0.09621471533917711,0,10,2309624528
Positivity stress,Admissible refinement,1.0333089115804437,1.030851605499204,0.09040643475622603,1,10,2309624528
Positivity stress,Oracle state,1.0333089115804437,1.036729817336756,0.08959727003760715,1,10,2309624528
Outcome compression,Design erasure,0.9981159732265648,1.033454754889679,0.08539331156620185,1,10,2309624528
Outcome compression,Admissible refinement,0.9981159732265648,0.9885953311133853,0.08236417549743026,1,10,2309624528
Outcome compression,Oracle state,0.9981159732265648,0.9902361191661547,0.0824509352855289,1,10,2309624528
Nonclassical representation,Design erasure,1.1102434001186348,1.1516186986775925,0.10598653043036065,1,10,2309624528
Nonclassical representation,Admissible refinement,1.1102434001186348,1.0863756266419164,0.10542918828576728,1,10,2309624528
Nonclassical representation,Oracle state,1.1102434001186348,1.072662537073639,0.10295471114717958,1,10,2309624528
Baseline,Design erasure,1.075053518112918,1.0274366342030072,0.09213000785155549,1,11,58795453
Baseline,Admissible refinement,1.075053518112918,0.8901912618750333,0.0944982195134194,1,11,58795453
Baseline,Oracle state,1.075053518112918,0.8535320954674472,0.08771032647279486,0,11,58795453
Positivity stress,Design erasure,1.0746012801834972,1.1561523323265273,0.09394326129526566,1,11,58795453
Positivity stress,Admissible refinement,1.0746012801834972,0.8739886117135591,0.09856556276116357,0,11,58795453
Positivity stress,Oracle state,1.0746012801834972,0.8684165695178471,0.09619458307243292,0,11,58795453
Outcome compression,Design erasure,1.0546962895108132,1.1470920786435306,0.08742644851582194,1,11,58795453
Outcome compression,Admissible refinement,1.0546962895108132,1.128042187151572,0.09050785261941657,1,11,58795453
Outcome compression,Oracle state,1.0546962895108132,1.1050886574537044,0.089353854408942,1,11,58795453
Nonclassical representation,Design erasure,1.0516334889024315,1.1936511191687744,0.09043388996902409,1,11,58795453
Nonclassical representation,Admissible refinement,1.0516334889024315,1.1460335495222809,0.09597214009973434,1,11,58795453
Nonclassical representation,Oracle state,1.0516334889024315,1.0993823113361214,0.09291021964048608,1,11,58795453
Baseline,Design erasure,1.080485360527222,1.2156767112271034,0.09395220858236147,1,12,2708427380
Baseline,Admissible refinement,1.080485360527222,1.0843450277412665,0.09267997056814059,1,12,2708427380
